# heldout_testset {"config": "configs/default.json", "seed": 20260604, "n": 1000, "columns": ["altitude_m", "velocity_mps", "gamma_deg", "chi_deg", "phi_deg", "lambda_deg"]}
idx,altitude_m,velocity_mps,gamma_deg,chi_deg,phi_deg,lambda_deg
72,120487.055654,7878.485595,-2.744412,45.295319,-0.008111,-0.237837
73,120390.453528,7841.774144,-2.340835,47.571224,0.202173,0.261122
74,120258.926542,7825.904157,-2.155104,46.240929,-0.175733,0.231775
75,119075.862273,7863.913925,-2.183291,48.661488,0.008246,-0.274854
76,120576.480751,7825.458035,-2.581965,46.923614,-0.240411,-0.276561
77,120233.165793,7847.107005,-2.713819,46.244501,-0.099804,0.066475
78,120271.251336,7735.641864,-2.408875,47.537628,0.105220,-0.269147
79,119326.069041,7750.094592,-2.460642,44.792625,-0.023054,0.234635
80,120618.560530,7750.708754,-2.869148,44.705747,-0.011410,-0.092034
81,119360.717222,7806.390594,-2.592533,45.364787,-0.079282,0.142288
82,119493.876725,7753.129363,-2.840473,47.651737,0.045924,-0.030195
83,119848.227013,7703.439655,-2.415396,46.215435,0.198993,0.285495
84,120032.394020,7793.199631,-2.611353,45.950578,-0.089958,-0.160758
85,119872.914264,7847.016671,-2.161591,48.957343,0.051797,0.262396
86,119574.731403,7740.867102,-2.720346,45.868046,-0.003480,-0.168822
87,119328.576428,7749.206841,-2.190489,46.096788,0.191896,0.135432
88,119792.014865,7760.552020,-2.445084,43.588087,0.008776,0.104864
89,119495.134455,7713.940143,-2.651473,43.224341,-0.221054,-0.070394
90,119871.838709,7853.360102,-2.757880,45.144015,-0.254262,0.182232
91,119736.277349,7866.805010,-2.323976,43.591356,-0.273257,-0.021994
92,119191.701588,7738.775533,-2.597355,45.024417,-0.202716,-0.119705
93,119043.880986,7777.697841,-2.147260,48.251421,-0.042885,-0.014120
94,119104.973853,7844.398858,-2.278319,43.280684,-0.063614,-0.255816
95,120578.858620,7732.411125,-2.535382,44.449200,0.159646,-0.112428
96,119021.100423,7882.079532,-2.319130,44.128384,-0.234989,0.277211
97,119602.075780,7740.822023,-2.151572,47.065311,-0.028856,-0.002682
98,120421.009480,7891.611258,-2.513139,47.735003,-0.298130,0.084466
99,119571.719525,7855.475027,-2.769253,45.055319,-0.293282,-0.298278
100,120503.170840,7709.398989,-2.871330,47.659030,-0.269942,0.246488
101,120835.051997,7878.232476,-2.878813,45.983667,0.213065,0.000726
102,119851.364930,7752.517777,-2.889555,44.578294,-0.199864,-0.174617
103,119979.803077,7723.121464,-2.888521,47.018790,-0.026283,-0.253814
104,120988.139197,7894.274264,-2.328078,47.013203,0.110842,0.205674
105,120568.081358,7852.199680,-2.437081,45.423387,-0.155049,0.288910
106,119278.590957,7711.405612,-2.777080,45.693316,0.045192,0.024254
107,120207.295740,7820.401731,-2.499300,44.770227,-0.158493,-0.013960
108,119561.833445,7758.725442,-2.685963,46.646231,-0.231413,-0.017456
109,119357.304697,7746.531523,-2.832560,47.052904,-0.140798,-0.232902
110,119805.030287,7779.569761,-2.303253,48.722825,0.220897,0.094644
111,119512.850324,7803.452279,-2.434258,46.623473,0.068639,-0.088208
112,120675.357353,7721.666434,-2.284470,44.605892,0.056173,-0.111681
113,120293.132546,7746.793159,-2.812797,46.107571,-0.214062,0.036162
114,120398.067683,7762.954499,-2.511300,45.701897,-0.172255,0.143819
115,119404.351103,7716.914130,-2.573369,45.262888,-0.083966,0.045704
116,119873.554552,7896.125464,-2.123082,48.627434,0.269245,-0.091477
117,120243.174378,7848.875363,-2.250711,43.760294,0.075277,0.110987
118,119583.593075,7857.370223,-2.763764,47.533358,-0.188436,0.281530
119,120533.129262,7819.222249,-2.590392,44.821891,-0.137415,-0.100818
120,119741.238429,7716.675620,-2.437970,48.922486,-0.022496,0.161851
121,120766.643155,7789.939717,-2.769884,44.422850,0.037219,-0.046370
122,119695.239019,7800.029375,-2.199664,48.189070,-0.176892,0.213596
123,119631.848175,7755.451718,-2.519734,44.379664,0.296411,0.130738
124,119710.394377,7712.000582,-2.655535,48.790938,-0.289865,-0.025960
125,120601.676758,7885.183984,-2.199240,43.406725,-0.066710,-0.285567
126,120965.264633,7798.354686,-2.831974,44.521483,0.191462,-0.115209
127,119157.977195,7750.490479,-2.309758,43.950781,-0.253375,-0.129597
128,120781.562459,7778.781822,-2.789674,43.911657,-0.087578,0.227343
129,120289.915080,7843.562740,-2.419602,47.622746,-0.030191,0.191493
130,119756.728423,7765.118101,-2.449984,48.728770,0.218349,-0.019367
131,120467.618352,7705.236805,-2.620816,44.294914,0.259509,0.004951
132,119131.685502,7833.941644,-2.639656,48.285679,-0.118632,0.294695
133,119244.084299,7836.689608,-2.523526,44.196388,-0.173283,-0.115988
134,120486.948078,7746.686607,-2.778189,44.927128,0.245033,0.215916
135,119108.677942,7893.146249,-2.701818,45.074837,-0.040155,0.168479
136,119951.465038,7856.398081,-2.625995,48.448010,0.110913,-0.243006
137,120530.623200,7891.995858,-2.224914,44.096894,0.127258,-0.232275
138,119375.195785,7896.602042,-2.579367,47.283616,-0.177620,0.273443
139,120893.791116,7833.213321,-2.654995,46.868305,0.298069,-0.257757
140,119678.630048,7845.077641,-2.131362,44.448412,-0.079511,-0.061747
141,119841.214479,7745.335178,-2.274066,45.586816,0.083836,-0.151287
142,120861.520304,7843.435243,-2.469522,44.898548,-0.284666,-0.138790
143,119187.162047,7876.827482,-2.489643,44.181764,-0.008976,-0.172455
144,120091.302136,7896.867019,-2.110653,43.742490,0.082208,0.220069
145,119476.770147,7782.663382,-2.397863,44.291970,0.273399,0.147190
146,120952.793036,7755.315964,-2.824475,43.337232,-0.021179,0.007103
147,120299.751509,7728.028394,-2.440272,47.298537,0.240939,-0.018614
148,120456.278941,7753.607360,-2.754286,47.041399,-0.121133,-0.001026
149,119942.148180,7722.286104,-2.706504,44.037787,0.044556,0.204098
150,119392.109246,7797.890849,-2.167720,43.547048,0.278655,-0.206973
151,119269.108365,7891.907729,-2.494346,46.969596,0.095747,0.173969
152,119029.312146,7798.491243,-2.533028,47.626223,-0.074848,-0.186067
153,120941.647096,7822.352265,-2.594967,43.126445,0.136209,0.077966
154,120452.717527,7771.510410,-2.468013,43.836205,0.205090,-0.115167
155,120653.067070,7865.081424,-2.845828,45.910664,0.108540,0.186854
156,120767.776533,7815.698003,-2.752496,48.055996,-0.231713,-0.259784
157,119045.197608,7767.502427,-2.236397,44.651107,-0.228722,-0.175345
158,119747.641559,7899.294303,-2.891486,46.967951,-0.028692,-0.090650
159,119408.918955,7898.265396,-2.358143,47.963153,-0.023919,0.056229
160,120777.963049,7728.815190,-2.299233,44.780242,-0.274604,-0.027579
161,119504.262843,7800.542708,-2.343123,46.937633,-0.013277,0.156164
162,119541.948810,7725.938941,-2.609059,46.232321,0.230303,0.192985
163,119408.458231,7874.180603,-2.126787,44.357724,0.249895,-0.075123
164,119458.275521,7894.985388,-2.593031,47.295414,-0.102730,0.101445
165,119844.582282,7822.356338,-2.222426,44.073739,-0.198756,-0.078299
166,119345.259114,7787.433034,-2.147940,47.461836,-0.103767,-0.195998
167,120106.955822,7798.308836,-2.370459,45.692481,0.203544,-0.194080
168,119238.610446,7859.294098,-2.401843,44.194838,-0.235056,-0.028409
169,120310.064819,7894.443555,-2.660321,45.536837,-0.131802,-0.108409
170,119759.548972,7745.669713,-2.538147,43.930593,0.264130,-0.290664
171,119578.840815,7783.185724,-2.808784,43.327981,-0.018141,0.256522
172,119780.839937,7716.061057,-2.727954,46.322347,-0.222838,0.111610
173,119183.635630,7700.170862,-2.457358,48.492087,-0.058964,-0.274833
174,119485.554584,7837.992548,-2.213075,45.153852,-0.201416,-0.258534
175,120136.982371,7879.423729,-2.720167,43.129140,-0.194108,0.107494
176,119461.073071,7825.558028,-2.336554,44.277365,-0.181177,-0.066642
177,120310.303039,7793.707228,-2.776964,46.132529,0.247614,-0.298347
178,119696.783200,7712.349747,-2.128605,44.207347,0.012552,-0.236340
179,120079.487054,7821.258644,-2.273178,47.341199,-0.057005,-0.282741
180,119169.729586,7809.470711,-2.230497,43.691808,-0.128982,0.183882
181,120031.173765,7792.647264,-2.166840,47.334808,-0.284076,0.280280
182,119158.826291,7706.255202,-2.500961,47.646221,0.217365,-0.056674
183,120204.920668,7731.336095,-2.713397,47.506147,0.107741,-0.263310
184,119004.125771,7724.397053,-2.211030,47.946740,0.109183,-0.112531
185,120973.986620,7839.077362,-2.600373,46.283419,-0.136164,-0.154520
186,120248.672631,7831.657311,-2.377615,44.928951,0.209348,0.109348
187,120038.712326,7865.818877,-2.461892,44.077208,0.126360,0.169571
188,119764.150713,7778.297750,-2.508639,48.850320,-0.083131,0.023533
189,120271.289122,7782.235371,-2.506492,48.816315,-0.093802,-0.174391
190,119579.032399,7800.158838,-2.141055,45.372552,0.095078,-0.136082
191,120854.337904,7745.075223,-2.630977,43.750979,0.143979,-0.258108
192,119721.524660,7764.890459,-2.163525,48.373121,0.173336,-0.113954
193,119314.928590,7801.883334,-2.787025,44.293090,-0.284048,-0.042768
194,120256.460284,7791.173860,-2.772079,44.905464,-0.224946,-0.144026
195,119963.387221,7829.351525,-2.743848,48.692562,0.112562,0.111669
196,120813.461280,7742.355781,-2.415229,48.778460,0.073424,-0.269746
197,120250.575347,7733.449955,-2.883541,43.022455,-0.020647,0.215915
198,120223.072409,7818.555456,-2.296315,44.262437,-0.270478,0.159679
199,119192.255026,7820.034690,-2.247002,46.357244,-0.250534,-0.271106
200,120022.239233,7880.688663,-2.702907,47.511922,-0.161731,0.125122
201,120442.483412,7758.099560,-2.241733,48.945372,0.069717,0.103325
202,120843.107401,7893.121314,-2.263229,47.112189,-0.138566,-0.116646
203,120637.576339,7867.294712,-2.317371,43.853087,-0.255534,0.021264
204,119165.359594,7836.171507,-2.639308,48.021766,-0.170897,0.063992
205,120432.886081,7731.376230,-2.862365,44.528296,0.188841,-0.115474
206,120885.919730,7875.410909,-2.280848,44.121516,-0.091339,-0.073132
207,119697.337059,7715.054896,-2.103866,43.147514,0.009645,-0.128735
208,120642.905696,7791.510758,-2.670754,44.675459,-0.206639,0.052288
209,120389.154590,7736.358624,-2.495242,44.311479,0.110610,0.203746
210,119607.284403,7725.345858,-2.557462,48.316479,-0.009685,0.215930
211,120177.674493,7810.374421,-2.141042,45.178933,-0.240552,-0.076097
212,120251.664034,7877.597706,-2.403492,48.878794,-0.136868,0.142419
213,120652.242431,7726.291084,-2.624842,43.920586,-0.021398,0.036146
214,120164.806120,7878.182978,-2.505436,46.146347,0.212370,-0.102076
215,120745.555738,7801.555276,-2.241039,48.620434,0.017244,-0.231683
216,119888.750292,7826.448613,-2.871302,48.691731,0.298208,-0.135052
217,119017.688265,7777.303752,-2.775687,45.106018,0.237931,0.177356
218,120409.831566,7821.186733,-2.686610,47.615485,-0.171342,-0.229845
219,119127.945808,7881.798212,-2.683273,44.228986,-0.223322,-0.000561
220,119070.687292,7816.892188,-2.543957,45.686002,0.011706,0.192310
221,120707.041916,7826.220482,-2.781510,48.471835,0.145904,0.205828
222,119574.062824,7840.109813,-2.372226,45.646835,-0.036008,-0.061455
223,119825.878349,7728.261922,-2.801016,48.036435,0.293921,-0.263835
224,120792.315299,7848.647108,-2.686774,43.503539,-0.222198,-0.085764
225,119713.348946,7813.897107,-2.613526,43.020547,-0.169077,-0.011178
226,119958.284308,7879.700193,-2.571970,44.993489,0.049251,-0.086550
227,119877.830477,7769.080555,-2.822989,46.699840,0.102761,0.158677
228,120251.251250,7735.457684,-2.133314,43.624845,0.119055,0.237105
229,120999.456565,7865.983981,-2.842632,47.457253,0.025252,0.287468
230,119309.725374,7755.252664,-2.198708,48.591302,0.229380,-0.227006
231,120666.774707,7847.457006,-2.453475,46.280420,-0.005518,0.048598
232,120926.237490,7719.107442,-2.765934,47.084793,-0.031402,-0.253738
233,120286.253740,7824.953390,-2.506273,46.765907,0.115343,0.128215
234,119699.343647,7700.158787,-2.179001,47.958045,0.198315,0.108804
235,120289.128065,7824.712090,-2.868833,43.706124,0.292761,0.269905
236,119498.929767,7782.608433,-2.349089,43.818796,-0.078038,-0.267031
237,120743.967725,7715.656928,-2.720496,45.640980,0.239202,-0.176033
238,119499.334716,7762.889005,-2.135564,46.953794,-0.268598,-0.010903
239,120495.568202,7885.198766,-2.540256,44.516191,-0.233199,-0.228849
240,119771.276841,7881.015825,-2.539134,47.354939,-0.015003,0.061315
241,119266.255598,7837.730936,-2.826577,48.628030,0.100465,0.081570
242,119425.560142,7897.002047,-2.887586,44.291953,-0.128556,-0.089466
243,119203.786042,7861.483333,-2.551150,46.092685,0.247856,-0.096087
244,119722.253511,7751.107083,-2.389823,43.566980,0.190676,0.075413
245,119771.993534,7761.248990,-2.596922,48.650208,-0.260682,-0.140000
246,119123.797997,7778.355139,-2.617006,44.297610,-0.075377,-0.231430
247,120369.118204,7844.053822,-2.594420,44.900357,-0.104425,0.227771
248,119440.168101,7863.212447,-2.894084,47.124854,-0.239402,-0.220556
249,120599.895170,7740.418569,-2.361656,45.542349,-0.296336,0.190518
250,120103.092467,7748.486761,-2.434963,45.838266,0.276802,-0.019324
251,120266.165553,7785.529796,-2.313947,44.673692,-0.022946,0.210597
252,120134.975426,7789.207488,-2.694670,46.939406,0.022451,0.084532
253,119768.912078,7715.569900,-2.578158,46.219433,-0.135162,-0.162624
254,120285.744863,7889.165666,-2.483720,43.324631,0.125528,0.263726
255,119101.878394,7821.263646,-2.210828,44.609661,-0.008019,-0.063647
256,119081.200619,7882.689222,-2.837171,44.205466,0.282556,-0.105029
257,120186.169034,7818.813317,-2.737322,47.938232,-0.129265,-0.021803
258,119885.957759,7780.969455,-2.285837,43.582978,-0.160461,-0.008700
259,119564.826532,7773.393625,-2.775427,44.571028,0.193330,0.016208
260,119983.715224,7755.259427,-2.354716,46.692841,0.147835,0.112941
261,120822.389139,7859.203435,-2.887807,43.093630,-0.173511,-0.299609
262,120213.385585,7724.657885,-2.190887,43.164490,-0.024329,0.205982
263,119433.737560,7889.113653,-2.666661,45.493519,-0.078117,-0.000899
264,120597.055601,7802.422090,-2.392349,45.287974,-0.092197,-0.180613
265,119919.656039,7784.683733,-2.530144,46.204870,0.054786,0.193350
266,119476.609170,7762.218344,-2.185715,43.108452,0.211930,0.091625
267,119294.487335,7714.412482,-2.548254,43.270858,-0.028519,-0.282880
268,120854.267231,7883.262741,-2.313122,45.242432,-0.039993,0.057852
269,120362.411559,7786.082761,-2.858091,45.786568,0.118534,-0.074944
270,119272.140233,7702.785679,-2.429940,46.788132,-0.211618,-0.191207
271,120863.474923,7840.101238,-2.619801,46.841810,-0.163786,-0.136142
272,119190.261419,7807.180481,-2.717941,44.214464,-0.196339,-0.276224
273,119962.797261,7832.706197,-2.345376,48.395314,0.021872,-0.022828
274,120727.210714,7849.874323,-2.483714,46.544926,0.236934,-0.118850
275,120021.339978,7758.234506,-2.205713,48.058323,-0.256375,-0.077571
276,119917.241923,7832.112548,-2.660709,43.259877,-0.020974,0.252327
277,120036.529488,7818.489833,-2.700313,46.635077,0.103435,-0.155343
278,120309.519690,7897.612947,-2.351893,46.548163,-0.279958,-0.133314
279,120196.985272,7831.391402,-2.284968,46.396108,0.061844,-0.114486
280,119198.807801,7731.814525,-2.165362,48.050676,0.098747,0.234801
281,119266.550620,7891.253458,-2.809268,43.933490,-0.270471,0.208674
282,119325.920266,7706.860113,-2.185701,43.143718,-0.249074,-0.110272
283,120765.176965,7719.785843,-2.227278,48.875262,0.122800,0.236320
284,120850.358451,7738.068216,-2.338930,47.639960,-0.256558,-0.297486
285,120746.053450,7708.056935,-2.645547,44.061821,0.075063,-0.177727
286,120829.504212,7827.090400,-2.550614,45.120369,0.249731,-0.278060
287,119183.362591,7779.017245,-2.559909,45.631266,-0.235212,-0.241794
288,119547.102225,7805.691943,-2.110697,43.121716,0.255884,-0.140869
289,120485.378279,7845.597370,-2.630744,44.366677,0.156237,0.050299
290,119624.646094,7865.587165,-2.100641,47.351098,0.099496,-0.276938
291,120898.442529,7703.440392,-2.397121,43.018303,-0.005321,-0.252819
292,120857.697153,7812.155815,-2.668137,46.177471,0.107691,-0.034420
293,119077.372916,7794.063429,-2.159347,47.623747,0.069156,0.066618
294,120608.873752,7820.636363,-2.769282,46.825996,-0.157765,0.027842
295,120741.492666,7716.992358,-2.327033,44.268251,-0.269635,0.017246
296,120693.566168,7799.355309,-2.681655,47.964339,-0.248757,0.137340
297,120986.144315,7772.064460,-2.313901,47.035587,0.058071,0.077314
298,120273.920341,7802.900321,-2.570566,43.511645,0.121542,-0.201491
299,119192.274251,7886.396020,-2.563146,45.702190,-0.269705,0.028712
300,119141.360528,7823.970641,-2.490844,47.600206,0.003971,0.058389
301,120766.148510,7849.601238,-2.219222,48.926360,-0.250785,-0.097964
302,119392.740837,7880.088470,-2.807780,44.595057,-0.055776,-0.293208
303,120909.878055,7725.070002,-2.103190,45.281805,-0.094432,-0.235858
304,120505.813625,7794.591987,-2.393293,48.796632,0.087660,0.293289
305,119523.141253,7819.846792,-2.841805,43.387837,-0.023343,0.136067
306,119535.983389,7782.396670,-2.670819,48.655054,0.002853,0.198061
307,119163.349959,7745.770267,-2.785071,48.487442,-0.209489,-0.075152
308,119398.008592,7782.263153,-2.735173,44.695346,-0.285554,-0.095139
309,120325.296173,7830.442434,-2.635081,45.768459,0.239735,0.064875
310,120534.336133,7805.997785,-2.572393,47.198144,-0.081899,-0.229934
311,119503.117383,7819.075336,-2.233789,46.264636,-0.027262,-0.286317
312,120156.152831,7841.702211,-2.185302,48.616613,-0.204160,0.289795
313,120243.887761,7736.288052,-2.801691,43.735617,0.112477,0.184194
314,120631.518448,7721.953409,-2.732308,47.321392,-0.205248,0.073036
315,119777.260524,7733.821783,-2.412346,44.873549,0.034154,-0.018120
316,120084.724329,7742.420915,-2.445102,46.859351,0.158176,0.032729
317,119763.000901,7804.657389,-2.496410,46.471521,0.004168,-0.035765
318,120716.021753,7742.027791,-2.184582,44.699869,0.281491,0.295144
319,119211.669035,7893.475261,-2.408029,47.584251,0.024536,0.061659
320,120989.945767,7700.885417,-2.359345,43.916719,-0.114142,-0.281287
321,120596.152338,7781.149317,-2.684453,46.772269,0.195006,0.032281
322,120624.524820,7824.011537,-2.575216,48.989380,-0.080688,-0.219369
323,119226.108390,7773.365183,-2.382378,44.733961,-0.130258,-0.061018
324,120429.541391,7868.147468,-2.583230,47.211150,-0.279211,0.238251
325,120385.909433,7898.982498,-2.890438,46.405369,-0.119817,0.112200
326,120422.029826,7881.855246,-2.190440,47.718009,-0.247533,-0.159568
327,120557.636507,7816.584715,-2.553032,43.058873,0.102942,-0.151051
328,119869.428468,7736.512365,-2.473128,46.483525,0.067128,0.287173
329,120440.690655,7771.825318,-2.606869,43.161541,-0.071624,-0.273473
330,120846.712121,7783.653511,-2.517318,43.271805,0.193008,-0.164483
331,119242.318831,7801.724047,-2.208331,45.609386,-0.028465,0.267938
332,119202.974244,7720.876044,-2.366492,46.356759,0.253938,0.247685
333,120882.272101,7873.775957,-2.825650,43.965823,-0.112378,-0.140507
334,120864.575345,7708.954030,-2.204846,46.296397,0.125938,-0.042784
335,119809.611005,7846.516795,-2.167026,45.715547,-0.119918,0.075508
336,119221.317038,7800.447150,-2.448862,48.102579,-0.232587,0.028981
337,119337.409655,7749.227457,-2.421589,44.703548,0.211266,-0.165065
338,119436.843426,7757.266083,-2.418197,46.853379,0.059410,0.156041
339,119344.219166,7888.814667,-2.388362,48.656297,-0.012427,0.016562
340,119795.350776,7781.416792,-2.628234,45.515593,-0.175839,-0.226001
341,119739.372509,7739.159707,-2.260310,48.972840,-0.238607,-0.113423
342,119129.795721,7856.540988,-2.723337,46.779220,0.240718,-0.187564
343,120628.587964,7827.932892,-2.450111,45.635861,-0.222154,-0.248465
344,120699.314176,7847.776237,-2.426522,46.758064,0.269609,0.049507
345,120463.139506,7704.891725,-2.738358,44.166245,0.253086,0.095740
346,119285.771967,7797.024390,-2.546001,44.014669,0.062698,0.065370
347,119647.951331,7839.098822,-2.806921,47.093801,0.187471,0.104830
348,119941.871616,7769.730816,-2.742812,46.937462,-0.225963,0.201179
349,119609.828839,7893.966021,-2.684726,45.112145,-0.120798,0.039935
350,119917.627022,7884.020532,-2.676889,44.186209,0.009898,0.237215
351,119319.836480,7722.182700,-2.894250,47.144612,-0.259937,-0.085054
352,120175.763352,7870.048231,-2.425097,44.873945,-0.192219,-0.020402
353,119495.801801,7743.693001,-2.763099,44.933010,0.125374,0.282957
354,119611.889210,7888.889010,-2.340197,47.157453,0.095115,0.082751
355,120016.220291,7741.738409,-2.428962,47.748519,-0.227940,0.286729
356,119053.351928,7726.311890,-2.224280,44.554712,0.016829,0.181051
357,119480.529606,7773.870125,-2.178732,45.318606,0.175319,-0.166020
358,119099.377477,7732.426674,-2.680513,47.050467,0.285248,-0.137161
359,119911.176548,7712.143444,-2.663598,44.592148,0.102295,-0.002416
360,119578.017082,7850.305862,-2.816002,48.693571,0.067050,0.219297
361,120184.375427,7728.487702,-2.295039,44.582118,0.099410,0.092917
362,119576.516583,7745.617927,-2.596985,46.564765,0.001543,-0.248779
363,120490.745160,7744.972769,-2.518689,47.886324,0.084923,0.035422
364,120033.314006,7860.177177,-2.177574,45.779574,-0.030772,-0.269277
365,119765.313713,7774.962331,-2.610077,43.578357,0.275322,0.070016
366,120918.535816,7765.328596,-2.319299,48.988305,0.240617,-0.251098
367,120413.681363,7809.132016,-2.706214,43.288959,0.147298,0.077736
368,119793.655655,7753.214659,-2.681492,43.969827,0.253446,-0.123540
369,120503.065590,7788.171344,-2.800548,44.012186,0.142574,-0.019828
370,119631.235046,7768.463557,-2.704562,43.724584,0.266410,-0.149320
371,119169.386155,7874.427657,-2.431859,44.850479,0.269333,0.051132
372,119224.675432,7836.960794,-2.460164,47.611404,-0.040428,-0.257132
373,119740.922004,7805.334129,-2.232118,44.900871,0.071386,0.191645
374,120342.578400,7861.475492,-2.174027,48.313784,-0.015270,-0.264917
375,119528.262353,7764.890568,-2.827968,45.906802,-0.175021,-0.005047
376,120401.940327,7890.011572,-2.662142,47.060402,-0.236460,0.174326
377,119716.374757,7856.112953,-2.250531,48.936134,-0.030529,0.197747
378,120846.684248,7758.544489,-2.537329,43.584728,0.286546,-0.251285
379,120593.898633,7888.829814,-2.546620,48.915948,-0.117874,0.148023
